title,audience_score,type,genre,runtime,year,mpaa_rating,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,rt_url,imdb_url,imdb_id
Star Trek: First Contact,83,Feature Film,Action & Adventure,111,1996,PG-13,79577,92,Certified Fresh,no,no,no,no,no,no,Upright,Jonathan Frakes,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton,Michael Dorn,http://www.rottentomatoes.com/m/star_trek_first_contact/,http://www.imdb.com/title/tt0117731/,117731
Dirty Girl,54,Feature Film,Drama,90,2010,R,5983,27,Rotten,no,no,no,no,no,no,Spilled,Abe Sylvia,Juno Temple,Jeremy Dozier,Milla Jovovich,William H. Macy,Mary Steenburgen,http://www.rottentomatoes.com/m/dirty_girl_2011/,http://www.imdb.com/title/tt1107319/,1107319
Troop Beverly Hills,53,Feature Film,Comedy,100,1989,PG,5599,8,Rotten,no,no,no,no,no,no,Spilled,Jeff Kanew,Shelley Long,Craig T. Nelson,Betty Thomas,Mary Gross,Stephanie Beacham,http://www.rottentomatoes.com/m/troop_beverly_hills/,http://www.imdb.com/title/tt0098519/,98519
Top Dog,42,Feature Film,Action & Adventure,86,1995,PG-13,1829,0,Rotten,no,no,no,no,no,no,Spilled,Aaron Norris,Chuck Norris,Clyde Kusatsu,Michele Lamar Richards,Peter S. Moore,Erik von Detten,http://www.rottentomatoes.com/m/1059857-top_dog/,http://www.imdb.com/title/tt0114697/,114697
The Witches of Eastwick,60,Feature Film,Horror,118,1987,R,36623,73,Fresh,no,no,yes,yes,no,no,Upright,George Miller,Jack Nicholson,Cher,Susan Sarandon,Michelle Pfeiffer,Veronica Cartwright,http://www.rottentomatoes.com/m/witches_of_eastwick/,http://www.imdb.com/title/tt0094332/,94332
Deadgirl,40,Feature Film,Drama,101,2008,R,11456,29,Rotten,no,no,no,no,no,no,Spilled,Marcel Sarmiento,Shiloh Fernandez,Noah Segan,Michael Bowen,Candice Accola,NA,http://www.rottentomatoes.com/m/1214678-deadgirl/,http://www.imdb.com/title/tt0896534/,896534
The Lord of the Rings: The Fellowship of the Ring,92,Feature Film,Drama,178,2001,PG-13,796862,92,Certified Fresh,yes,no,no,no,yes,yes,Upright,Peter Jackson,Elijah Wood,Ian McKellen,Ian Holm,Viggo Mortensen,Sean Bean,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/,http://www.imdb.com/title/tt0120737/,120737
About a Boy,53,Feature Film,Drama,101,2002,PG-13,110701,93,Certified Fresh,no,no,no,no,no,no,Spilled,Chris Weitz,Hugh Grant,Nicholas Hoult,Toni Collette,Rachel Weisz,Isabel Brook,http://www.rottentomatoes.com/m/about_a_boy/,http://www.imdb.com/title/tt0276751/,276751
Frailty,77,Feature Film,Mystery & Suspense,100,2001,R,45367,73,Certified Fresh,no,no,no,no,no,no,Upright,Bill Paxton,Bill Paxton,Matthew McConaughey,Powers Boothe,Matt O'Leary,Jeremy Sumpter,http://www.rottentomatoes.com/m/frailty/,http://www.imdb.com/title/tt0264616/,264616
Paranormal Activity 2,49,Feature Film,Mystery & Suspense,91,2010,R,59795,58,Rotten,no,no,no,no,no,no,Spilled,Tod Williams,Katie Featherston,Micah Sloat,Brian Boland,Molly Ephraim,Sprague Grayden,http://www.rottentomatoes.com/m/paranormal_activity_2/,http://www.imdb.com/title/tt1536044/,1536044
The Cable Guy,48,Feature Film,Comedy,96,1996,PG-13,91345,54,Rotten,no,no,no,no,no,no,Spilled,Ben Stiller,Jim Carrey,Matthew Broderick,Leslie Mann,Jack Black,George Segal,http://www.rottentomatoes.com/m/cable_guy/,http://www.imdb.com/title/tt0115798/,115798
Death of a Salesman,74,TV Movie,Drama,136,1985,PG,6152,100,Fresh,no,no,yes,no,no,no,Upright,Volker Schlondorff,Dustin Hoffman,John Malkovich,Kate Reid,Stephen Lang,Charles Durning,http://www.rottentomatoes.com/m/1005521-death_of_a_salesman/,http://www.imdb.com/title/tt0089006/,89006
John Tucker Must Die,71,Feature Film,Drama,89,2006,PG-13,46272,26,Rotten,no,no,no,no,no,no,Upright,Betty Thomas,Jesse Metcalfe,Brittany Snow,Ashanti,Sophia Bush,Arielle Kebbel,http://www.rottentomatoes.com/m/john_tucker_must_die/,http://www.imdb.com/title/tt0455967/,455967
The Words,50,Feature Film,Mystery & Suspense,102,2012,PG-13,35576,22,Rotten,no,no,yes,no,no,no,Spilled,Brian Klugman,Bradley Cooper,Jeremy Irons,Dennis Quaid,Olivia Wilde,Zoe Saldana,http://www.rottentomatoes.com/m/the_words/,http://www.imdb.com/title/tt1840417/,1840417
Raising Arizona,81,Feature Film,Comedy,94,1987,PG-13,77428,90,Certified Fresh,no,no,yes,yes,yes,no,Upright,Joel Coen,Nicolas Cage,Holly Hunter,Trey Wilson,John Goodman,William Forsythe,http://www.rottentomatoes.com/m/raising_arizona/,http://www.imdb.com/title/tt0093822/,93822
Catch a Fire,63,Feature Film,Drama,101,2006,PG-13,8450,75,Certified Fresh,no,no,no,no,no,no,Upright,Phillip Noyce,Tim Robbins,Derek Luke,Bonnie Henna,Mncedisi Shabangu,Tumisho K. Masha,http://www.rottentomatoes.com/m/catch_a_fire/,http://www.imdb.com/title/tt0437232/,437232
Sometimes a Great Notion,76,Feature Film,Drama,114,1970,PG,2003,100,Fresh,no,no,yes,no,no,no,Upright,Paul Newman,Paul Newman,Henry Fonda,Lee Remick,Michael Sarrazin,Richard Jaeckel,http://www.rottentomatoes.com/m/sometimes_a_great_notion/,http://www.imdb.com/title/tt0067774/,67774
Spirited Away,95,Feature Film,Drama,125,2001,PG,248533,97,Certified Fresh,no,no,no,no,no,no,Upright,Hayao Miyazaki,Daveigh Chase,Rumi Hiiragi,Jason Marsden,Miyu Irino,Mari Natsuki,http://www.rottentomatoes.com/m/spirited_away/,http://www.imdb.com/title/tt0245429/,245429
Closure,34,Feature Film,Mystery & Suspense,80,2007,R,5068,40,Rotten,no,no,no,no,no,no,Spilled,Dan Reed,Gillian Anderson,Danny Dyer,Anthony Calf,Ralph Brown,Steven Robertson,http://www.rottentomatoes.com/m/10008126-straightheads/,http://www.imdb.com/title/tt0480011/,480011
My Bloody Valentine,51,Feature Film,Mystery & Suspense,90,1981,R,8755,40,Rotten,no,no,no,no,no,no,Spilled,George Mihalka,Paul Kelman,Lori Hallier,Neil Affleck,Keith Knight,Alf Humphreys,http://www.rottentomatoes.com/m/my_bloody_valentine/,http://www.imdb.com/title/tt0082782/,82782
Insomnia,69,Feature Film,Mystery & Suspense,118,2002,R,159778,92,Certified Fresh,no,no,yes,yes,no,no,Upright,Christopher Nolan,Al Pacino,Robin Williams,Hilary Swank,Maura Tierney,Martin Donovan,http://www.rottentomatoes.com/m/1114154-insomnia/,http://www.imdb.com/title/tt0278504/,278504
Dare,34,Feature Film,Drama,92,2009,R,2511,64,Fresh,no,no,no,no,no,no,Spilled,Adam Salky,Emmy Rossum,Zach Gilford,Ashley Springer,Ana Gasteyer,Alan Cumming,http://www.rottentomatoes.com/m/dare/,http://www.imdb.com/title/tt1241316/,1241316
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,70,Documentary,Documentary,74,2008,G,7468,72,Fresh,no,no,no,no,no,no,Upright,Bruce Hendricks,Miley Cyrus,Jonas Brothers,Kenny Ortega,Billy Ray Cyrus,NA,http://www.rottentomatoes.com/m/hannah-montanamiley-cyrus-best-of-both-worlds-concert-tour/,http://www.imdb.com/title/tt1127884/,1127884
Lifeforce,41,Feature Film,Action & Adventure,116,1985,R,11545,67,Fresh,no,no,no,no,no,no,Spilled,Tobe Hooper,Steve Railsback,Peter Firth,Frank Finlay,Mathilda May,Patrick Stewart,http://www.rottentomatoes.com/m/lifeforce/,http://www.imdb.com/title/tt0089489/,89489
Octopussy,51,Feature Film,Mystery & Suspense,131,1983,PG,54357,43,Rotten,no,no,no,no,no,no,Spilled,John Glen,Roger Moore,Maud Adams,Louis Jourdan,Kristina Wayborn,Kabir Bedi,http://www.rottentomatoes.com/m/octopussy/,http://www.imdb.com/title/tt0086034/,86034
Step Up 2: The Streets,79,Feature Film,Drama,98,2008,PG-13,46570,27,Rotten,no,no,no,no,no,no,Upright,Jon M. Chu,Briana Evigan,Robert Hoffman,Will Kemp,Sonja Sohn,Adam G. Sevani,http://www.rottentomatoes.com/m/step_up_2_the_streets/,http://www.imdb.com/title/tt1023481/,1023481
Manhattan Murder Mystery,81,Feature Film,Mystery & Suspense,104,1993,PG,21707,93,Fresh,no,no,no,yes,yes,no,Upright,Woody Allen,Woody Allen,Diane Keaton,Alan Alda,Anjelica Huston,Jerry Adler,http://www.rottentomatoes.com/m/manhattan_murder_mystery/,http://www.imdb.com/title/tt0107507/,107507
The Burning Plain,56,Feature Film,Drama,107,2008,R,11351,35,Rotten,no,no,no,yes,no,no,Spilled,Guillermo Arriaga,Charlize Theron,Kim Basinger,Joaquim de Almeida,John Corbett,Robin Tunney,http://www.rottentomatoes.com/m/burning_plain/,http://www.imdb.com/title/tt1068641/,1068641
Going Places,83,Feature Film,Drama,150,1974,R,4658,86,Fresh,no,no,no,no,no,no,Upright,Bertrand Blier,Gerard Depardieu,Miou-Miou,Patrick Dewaere,Jeanne Moreau,Jacques Chailleux,http://www.rottentomatoes.com/m/going_places/,http://www.imdb.com/title/tt0072353/,72353
Gods and Monsters,80,Feature Film,Drama,105,1998,R,21926,96,Certified Fresh,no,no,no,no,no,no,Upright,Bill Condon,Ian McKellen,Brendan Fraser,Lynn Redgrave,Lolita Davidovich,Kevin J. O'Connor,http://www.rottentomatoes.com/m/gods_and_monsters/,http://www.imdb.com/title/tt0120684/,120684
Rad,89,Feature Film,Drama,91,1986,PG,2942,0,Rotten,no,no,no,no,no,no,Upright,Hal Needham,Bill Allen,Lori Loughlin,Talia Shire,Ray Walston,Alfie Wise,http://www.rottentomatoes.com/m/rad/,http://www.imdb.com/title/tt0091817/,91817
District B13,72,Feature Film,Action & Adventure,84,2004,R,42123,81,Certified Fresh,no,no,no,no,no,no,Upright,Pierre Morel,Cyril Raffaelli,David Belle,Tony D'Amario,Bibi Naceri,Dany Verissimo,http://www.rottentomatoes.com/m/district_b13/,http://www.imdb.com/title/tt0414852/,414852
The Brothers Grimm,45,Feature Film,Action & Adventure,118,2005,PG-13,77163,38,Rotten,no,no,no,no,no,no,Spilled,Terry Gilliam,Matt Damon,Heath Ledger,Jonathan Pryce,Lena Headey,Peter Stormare,http://www.rottentomatoes.com/m/brothers_grimm/,http://www.imdb.com/title/tt0355295/,355295
The Greatest Game Ever Played,76,Feature Film,Drama,120,2005,PG,16646,62,Fresh,no,no,no,no,no,no,Upright,Bill Paxton,Shia LaBeouf,Stephen Dillane,Josh Flitter,Peyton List,Elias Koteas,http://www.rottentomatoes.com/m/greatest_game_ever_played/,http://www.imdb.com/title/tt0388980/,388980
Reindeer Games,33,Feature Film,Drama,104,2000,R,25663,25,Rotten,no,no,no,yes,no,no,Spilled,John Frankenheimer,Ben Affleck,Gary Sinise,Charlize Theron,Dennis Farina,James Frain,http://www.rottentomatoes.com/m/reindeer_games/,http://www.imdb.com/title/tt0184858/,184858
Boyz n the Hood,88,Feature Film,Drama,112,1991,R,67046,96,Certified Fresh,no,no,no,no,no,no,Upright,John Singleton,Cuba Gooding Jr.,Morris Chestnut,Ice Cube,Angela Bassett,Laurence Fishburne,http://www.rottentomatoes.com/m/boyz_n_the_hood/,http://www.imdb.com/title/tt0101507/,101507
The Advocate,53,Feature Film,Drama,112,1993,R,1398,75,Fresh,no,no,yes,no,no,no,Spilled,Leslie Megahey,Colin Firth,Ian Holm,Donald Pleasence,Nicol Williamson,Lysette Anthony,http://www.rottentomatoes.com/m/advocate/,http://www.imdb.com/title/tt0107146/,107146
In the Land of Women,53,Feature Film,Drama,97,2007,PG-13,23675,43,Rotten,no,no,no,no,no,no,Spilled,Jon Kasdan,Adam Brody,Kristen Stewart,Meg Ryan,Olympia Dukakis,Makenzie Vega,http://www.rottentomatoes.com/m/in_the_land_of_women/,http://www.imdb.com/title/tt0419843/,419843
Dawn of the Dead,75,Feature Film,Drama,101,2004,R,146704,75,Certified Fresh,no,no,no,no,no,no,Upright,Zack Snyder,Sarah Polley,Ving Rhames,Jake Weber,Mekhi Phifer,Ty Burrell,http://www.rottentomatoes.com/m/dawn_of_the_dead/,http://www.imdb.com/title/tt0363547/,363547
Jade,31,Feature Film,Drama,95,1995,R,7581,15,Rotten,no,no,no,no,yes,no,Spilled,William Friedkin,David Caruso,Linda Fiorentino,Chazz Palminteri,Michael Biehn,Richard Crenna,http://www.rottentomatoes.com/m/jade/,http://www.imdb.com/title/tt0113451/,113451
The Verdict,85,Feature Film,Drama,129,1982,R,19398,96,Fresh,yes,no,yes,no,no,no,Upright,Sidney Lumet,Paul Newman,Charlotte Rampling,Jack Warden,James Mason,Milo O'Shea,http://www.rottentomatoes.com/m/verdict/,http://www.imdb.com/title/tt0084855/,84855
Lucas,66,Feature Film,Drama,100,1986,PG-13,9219,69,Fresh,no,no,no,no,no,no,Upright,David Seltzer,Corey Haim,Kerri Green,Charlie Sheen,Courtney Thorne-Smith,Winona Ryder,http://www.rottentomatoes.com/m/lucas/,http://www.imdb.com/title/tt0091445/,91445
Kinjite: Forbidden Subjects,37,Feature Film,Mystery & Suspense,97,1989,R,1455,0,Rotten,no,no,no,no,no,no,Spilled,J. Lee Thompson,Charles Bronson,Perry Lopez,James Pax,Peggy Lipton,Sy Richardson,http://www.rottentomatoes.com/m/kinjite_forbidden_subjects/,http://www.imdb.com/title/tt0097670/,97670
Cool World,34,Feature Film,Action & Adventure,102,1992,PG-13,13155,3,Rotten,no,no,no,no,no,no,Spilled,Ralph Bakshi,Kim Basinger,Gabriel Byrne,Brad Pitt,Michele Abrams,Deirdre O'Connell,http://www.rottentomatoes.com/m/1040378-cool_world/,http://www.imdb.com/title/tt0104009/,104009
McCabe & Mrs. Miller,85,Feature Film,Other,120,1971,R,12314,89,Fresh,no,no,no,yes,no,no,Upright,Robert Altman,Warren Beatty,Julie Christie,Rene Auberjonois,William Devane,John Schuck,http://www.rottentomatoes.com/m/mccabe_and_mrs_miller/,http://www.imdb.com/title/tt0067411/,67411
Shallow Grave,81,Feature Film,Drama,92,1994,R,36274,72,Fresh,no,no,no,no,yes,no,Upright,Danny Boyle,Kerry Fox,Christopher Eccleston,Ewan McGregor,Keith Allen,Ken Stott,http://www.rottentomatoes.com/m/1058923-shallow_grave/,http://www.imdb.com/title/tt0111149/,111149
The Shootist,84,Feature Film,Documentary,100,1976,PG,13842,93,Fresh,no,no,yes,no,no,no,Upright,Don Siegel,John Wayne,Lauren Bacall,Ron Howard,Bill McKinney,James Stewart,http://www.rottentomatoes.com/m/shootist/,http://www.imdb.com/title/tt0075213/,75213
The Story of Adele H,75,Feature Film,Other,96,1975,PG,4163,93,Fresh,no,no,no,no,no,no,Upright,Francois Truffaut,Isabelle Adjani,Bruce Robinson,Sylvia Marriott,Reuben Dorey,Joseph Blatchley,http://www.rottentomatoes.com/m/story_of_adele_h/,http://www.imdb.com/title/tt0073114/,73114
The Vow,63,Feature Film,Drama,104,2012,PG-13,80750,29,Rotten,no,no,no,yes,no,no,Upright,Michael Sucsy,Rachel McAdams,Channing Tatum,Jessica Lange,Sam Neill,Wendy Crewson,http://www.rottentomatoes.com/m/the_vow_2012/,http://www.imdb.com/title/tt1606389/,1606389
Pearl Harbor,68,Feature Film,Documentary,183,2001,PG-13,183717,25,Rotten,no,no,no,no,no,no,Upright,Michael Bay,Ben Affleck,Josh Hartnett,Kate Beckinsale,Cuba Gooding Jr.,Tom Sizemore,http://www.rottentomatoes.com/m/1108389-pearl_harbor/,http://www.imdb.com/title/tt0213149/,213149
Soul of the Game,70,TV Movie,Drama,94,1996,PG-13,696,67,Fresh,no,no,no,no,no,no,Upright,Kevin Rodney Sullivan,Delroy Lindo,Mykelti Williamson,Blair Underwood,Edward Herrmann,R. Lee Ermey,http://www.rottentomatoes.com/m/soul_of_the_game/,http://www.imdb.com/title/tt0115631/,115631
I Never Sang for My Father,81,Feature Film,Drama,92,1970,PG,1132,100,Fresh,no,no,yes,no,no,no,Upright,Gilbert Cates,Melvyn Douglas,Gene Hackman,Dorothy Stickney,Estelle Parsons,Elizabeth Hubbard,http://www.rottentomatoes.com/m/i_never_sang_for_my_father/,http://www.imdb.com/title/tt0065872/,65872
The Devil and Daniel Johnston,75,Documentary,Other,110,2005,PG-13,5652,89,Certified Fresh,no,no,no,no,no,no,Upright,Jeff Feuerzeig,Daniel Johnston,Mabel Johnston,Bill Johnston,Kathy McCarty,Jeff Tatrakov,http://www.rottentomatoes.com/m/1158179-devil_and_daniel_johnston/,http://www.imdb.com/title/tt0436231/,436231
Love in the Afternoon,87,Feature Film,Other,97,1972,R,2837,90,Fresh,no,no,no,no,no,no,Upright,Eric Rohmer,Bernard Verley,Zouzou,Francoise Verley,Daniel Ceccaldi,Malvina Penne,http://www.rottentomatoes.com/m/chloe_in_the_afternoon/,http://www.imdb.com/title/tt0068205/,68205
Opening Night,92,Feature Film,Drama,144,1977,PG-13,3839,95,Fresh,no,no,no,no,no,no,Upright,John Cassavetes,Gena Rowlands,John Cassavetes,Ben Gazzara,Joan Blondell,Paul Stewart,http://www.rottentomatoes.com/m/opening_night/,http://www.imdb.com/title/tt0079672/,79672
Back to the Future Part II,80,Feature Film,Other,108,1989,PG,206760,64,Fresh,no,no,no,no,yes,no,Upright,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson,Harry Waters Jr.,http://www.rottentomatoes.com/m/back_to_the_future_2/,http://www.imdb.com/title/tt0096874/,96874
Darkman,51,Feature Film,Action & Adventure,96,1990,R,37614,79,Certified Fresh,no,no,no,yes,no,no,Spilled,Sam Raimi,Liam Neeson,Frances McDormand,Colin Friels,Larry Drake,Nelson Mashita,http://www.rottentomatoes.com/m/darkman/,http://www.imdb.com/title/tt0099365/,99365
All Good Things,38,Feature Film,Mystery & Suspense,101,2010,R,26961,32,Rotten,no,no,no,no,no,no,Spilled,Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Lily Rabe,Mia Dillon,http://www.rottentomatoes.com/m/all_good_things/,http://www.imdb.com/title/tt1175709/,1175709
Mr. Nobody,79,Feature Film,Drama,141,2009,R,69340,74,Fresh,no,no,no,no,no,no,Upright,Jaco Van Dormael,Jared Leto,Diane Kruger,Sarah Polley,Linh-Dan Pham,Natasha Little,http://www.rottentomatoes.com/m/mr-nobody/,http://www.imdb.com/title/tt0485947/,485947
Thief of Hearts,43,Feature Film,Mystery & Suspense,100,1984,R,1099,0,Rotten,no,no,no,no,no,no,Spilled,Douglas Day Stewart,Steven Bauer,Barbara Williams,John Getz,David Caruso,Christine Ebersole,http://www.rottentomatoes.com/m/thief_of_hearts/,http://www.imdb.com/title/tt0088256/,88256
Barney's Version,77,Feature Film,Drama,134,2010,R,16761,80,Certified Fresh,no,no,yes,no,no,no,Upright,Richard J. Lewis,Paul Giamatti,Dustin Hoffman,Rosamund Pike,Minnie Driver,Rachelle Lefevre,http://www.rottentomatoes.com/m/barneys-version/,http://www.imdb.com/title/tt1423894/,1423894
Ethan Frome,38,Feature Film,Drama,99,1993,PG,1401,56,Rotten,no,no,no,no,no,no,Spilled,John Madden,Liam Neeson,Patricia Arquette,Joan Allen,Tate Donovan,Katharine Houghton,http://www.rottentomatoes.com/m/ethan_frome/,http://www.imdb.com/title/tt0106833/,106833
The Temp,18,Feature Film,Mystery & Suspense,99,1993,R,2056,30,Rotten,no,no,no,no,no,no,Spilled,Tom Holland,Timothy Hutton,Lara Flynn Boyle,Dwight Schultz,Oliver Platt,Steven Weber,http://www.rottentomatoes.com/m/temp/,http://www.imdb.com/title/tt0108311/,108311
Spaceballs,78,Feature Film,Other,96,1987,PG,99913,54,Rotten,no,no,no,no,no,no,Upright,Mel Brooks,Mel Brooks,John Candy,Rick Moranis,Bill Pullman,Daphne Zuniga,http://www.rottentomatoes.com/m/spaceballs/,http://www.imdb.com/title/tt0094012/,94012
The Cotton Club,52,Feature Film,Other,127,1984,R,10233,75,Fresh,no,no,no,no,yes,no,Spilled,Francis Ford Coppola,Richard Gere,Gregory Hines,Diane Lane,Lonette McKee,Bob Hoskins,http://www.rottentomatoes.com/m/cotton_club/,http://www.imdb.com/title/tt0087089/,87089
The Grey Fox,69,Feature Film,Other,110,1982,PG,1037,100,Fresh,no,no,no,no,no,no,Upright,Phillip Borsos,Richard Farnsworth,Jackie Burroughs,Wayne Robson,Ken Pogue,David Petersen,http://www.rottentomatoes.com/m/grey_fox/,http://www.imdb.com/title/tt0085622/,85622
Yellowbrickroad,28,Feature Film,Horror,98,2010,R,3259,44,Rotten,no,no,no,no,no,no,Spilled,Jesse Holland,Cassidy Freeman,Anessa Ramsey,Clark Freeman,Lee Wilkof,Laura Heisler,http://www.rottentomatoes.com/m/yellowbrickroad/,http://www.imdb.com/title/tt1398428/,1398428
The Bunker,36,Feature Film,Drama,95,2001,R,4505,80,Fresh,no,no,no,no,no,no,Spilled,Rob Green,Jason Flemyng,Charley Boorman,Jack Davenport,Andrew Lee Potts,Christopher Fairbank,http://www.rottentomatoes.com/m/the-bunker/,http://www.imdb.com/title/tt0252963/,252963
Dying Breed,27,Feature Film,Horror,92,2008,R,3208,50,Rotten,no,no,no,no,no,no,Spilled,Jody Dwyer,Nathan Phillips,Leigh Whannell,Bille Brown,Mirrah Foulkes,Melanie Vallejo,http://www.rottentomatoes.com/m/10009870-dying_breed/,http://www.imdb.com/title/tt1064744/,1064744
Hotel,33,Feature Film,Drama,93,2001,R,1668,38,Rotten,no,no,no,no,no,no,Spilled,Mike Figgis,Rhys Ifans,Saffron Burrows,David Schwimmer,Salma Hayek,Burt Reynolds,http://www.rottentomatoes.com/m/1124189-hotel/,http://www.imdb.com/title/tt0278487/,278487
Jonah Hex,23,Feature Film,Other,81,2010,PG-13,35153,12,Rotten,no,no,no,no,no,no,Spilled,Jimmy Hayward,Josh Brolin,John Malkovich,Megan Fox,Michael Fassbender,Will Arnett,http://www.rottentomatoes.com/m/jonah_hex/,http://www.imdb.com/title/tt1075747/,1075747
The Goonies,87,Feature Film,Action & Adventure,114,1985,PG,124454,64,Fresh,no,no,no,no,no,no,Upright,Richard Donner,Sean Astin,Josh Brolin,Corey Feldman,Kerri Green,Martha Plimpton,http://www.rottentomatoes.com/m/goonies/,http://www.imdb.com/title/tt0089218/,89218
The Englishman Who Went Up a Hill But Came Down a Mountain,49,Feature Film,Comedy,99,1995,PG,10866,58,Rotten,no,no,no,no,no,no,Spilled,Christopher Monger,Hugh Grant,Tara Fitzgerald,Colm Meaney,Ian McNeice,Ian Hart,http://www.rottentomatoes.com/m/englishman_who_went_up_a_hill_but_came_down_a_mountain/,http://www.imdb.com/title/tt0112966/,112966
Ghost Dad,37,Feature Film,Drama,83,1990,PG,5108,7,Rotten,no,no,no,no,no,no,Spilled,Sidney Poitier,Bill Cosby,Kimberly Russell,Denise Nicholas,Ian Bannen,Christine Ebersole,http://www.rottentomatoes.com/m/ghost_dad/,http://www.imdb.com/title/tt0099654/,99654
Thirteen Conversations About One Thing,65,Feature Film,Drama,104,2001,R,7686,82,Certified Fresh,no,no,no,no,no,no,Upright,Jill Sprecher,Matthew McConaughey,John Turturro,Alan Arkin,Clea DuVall,Amy Irving,http://www.rottentomatoes.com/m/thirteen_conversations_about_one_thing/,http://www.imdb.com/title/tt0268690/,268690
Max Dugan Returns,59,Feature Film,Drama,98,1983,PG,2302,75,Fresh,no,no,no,no,no,no,Spilled,Herbert Ross,Marsha Mason,Jason Robards,Donald Sutherland,Matthew Broderick,Dody Goodman,http://www.rottentomatoes.com/m/max_dugan_returns/,http://www.imdb.com/title/tt0085919/,85919
Mighty Aphrodite,69,Feature Film,Comedy,95,1995,R,24879,77,Fresh,no,no,no,no,yes,no,Upright,Woody Allen,Woody Allen,Helena Bonham Carter,Mira Sorvino,Michael Rapaport,F Murray Abraham,http://www.rottentomatoes.com/m/mighty_aphrodite/,http://www.imdb.com/title/tt0113819/,113819
Charlotte's Web,65,Feature Film,Drama,97,2006,G,19925,78,Certified Fresh,no,no,no,yes,no,no,Upright,Gary Winick,Julia Roberts,Steve Buscemi,John Cleese,Oprah Winfrey,Cedric the Entertainer,http://www.rottentomatoes.com/m/charlottes_web/,http://www.imdb.com/title/tt0413895/,413895
Ghost Rider,52,Feature Film,Action & Adventure,114,2007,PG-13,132418,26,Rotten,no,no,yes,no,no,no,Spilled,Mark Steven Johnson,Nicolas Cage,Eva Mendes,Wes Bentley,Sam Elliott,Donal Logue,http://www.rottentomatoes.com/m/ghost_rider/,http://www.imdb.com/title/tt0259324/,259324
Carrie,73,Feature Film,Horror,98,1976,R,86632,92,Certified Fresh,no,no,no,yes,no,no,Upright,Brian DePalma,Sissy Spacek,Piper Laurie,Amy Irving,William Katt,Nancy Allen,http://www.rottentomatoes.com/m/1003625-carrie/,http://www.imdb.com/title/tt0074285/,74285
Swordfish,61,Feature Film,Drama,99,2001,R,127597,26,Rotten,no,no,no,yes,no,no,Upright,Dominic Sena,John Travolta,Hugh Jackman,Halle Berry,Don Cheadle,Vinnie Jones,http://www.rottentomatoes.com/m/swordfish/,http://www.imdb.com/title/tt0244244/,244244
Premonition,54,Feature Film,Drama,96,2007,PG-13,49051,8,Rotten,no,no,no,yes,no,no,Spilled,Mennan Yapo,Sandra Bullock,Julian McMahon,Nia Long,Kate Nelligan,Amber Valletta,http://www.rottentomatoes.com/m/premonition/,http://www.imdb.com/title/tt0477071/,477071
A Stranger Among Us,34,Feature Film,Drama,110,1992,PG-13,2291,25,Rotten,no,no,no,no,no,no,Spilled,Sidney Lumet,Melanie Griffith,Eric Thal,John Pankow,Tracy Pollan,Lee Richardson,http://www.rottentomatoes.com/m/stranger_among_us/,http://www.imdb.com/title/tt0105483/,105483
Sleepers,81,Feature Film,Mystery & Suspense,147,1996,R,120915,74,Certified Fresh,no,no,yes,no,yes,no,Upright,Barry Levinson,Kevin Bacon,Robert De Niro,Dustin Hoffman,Billy Crudup,Bruno Kirby,http://www.rottentomatoes.com/m/1073595-sleepers/,http://www.imdb.com/title/tt0117665/,117665
The Last Samurai,81,Feature Film,Drama,154,2003,R,228731,65,Fresh,no,no,no,no,no,no,Upright,Edward Zwick,Tom Cruise,Timothy Spall,Ken Watanabe,Billy Connolly,Tony Goldwyn,http://www.rottentomatoes.com/m/last_samurai/,http://www.imdb.com/title/tt0325710/,325710
Monte Walsh,59,Feature Film,Other,106,1970,PG-13,1078,100,Fresh,no,no,yes,no,no,no,Spilled,William A. Fraker,Lee Marvin,Jeanne Moreau,Jack Palance,Mitchell Ryan,Jim Davis,http://www.rottentomatoes.com/m/1014167-monte_walsh/,http://www.imdb.com/title/tt0066093/,66093
The House of the Spirits,71,Feature Film,Drama,140,1993,R,13195,29,Rotten,no,no,yes,yes,no,no,Upright,Bille August,Jeremy Irons,Meryl Streep,Glenn Close,Winona Ryder,Antonio Banderas,http://www.rottentomatoes.com/m/house_of_the_spirits/,http://www.imdb.com/title/tt0107151/,107151
My Girl,74,Feature Film,Drama,102,1991,PG-13,40695,50,Rotten,no,no,no,no,no,no,Upright,Howard Zieff,Macaulay Culkin,Anna Chlumsky,Dan Aykroyd,Jamie Lee Curtis,Richard Masur,http://www.rottentomatoes.com/m/1037649-my_girl/,http://www.imdb.com/title/tt0102492/,102492
Ararat,68,Feature Film,Drama,115,2002,R,7920,55,Rotten,no,no,no,no,no,no,Upright,Atom Egoyan,David Alpay,Charles Aznavour,Eric Bogosian,Brent Carver,Marie-Josee Croze,http://www.rottentomatoes.com/m/ararat/,http://www.imdb.com/title/tt0273435/,273435
